Index,Reviewer Name,Title,Colour Name,Rating,Review Location,Review Date,Review Text,Sentiment
36,Eileen M.,My kitty loves this!,Green,5,Canada ,17-Jan-24,This couch is very soft and my kitty looks very comfortable in it. My friends comment on how cool it looks.,Positive
37,Britt,My big kitty fits on it,Green,5,Canada ,06-Feb-24,My cat loves this bed he sleeps on it all night!,Positive
38,Shel,Big comfy couch,Black,5,Canada ,08-Feb-24,Tater gives it a solid 10/10.,Positive
39,RoseDoe,Sits on it daily!,White,5,Canada ,04-Feb-24,"Cat loves it, looks nice in Livingroom!",Positive
40,Lina Deng,Super cute,Green,5,Canada ,28-Jan-24,"Comfy and stylish, my kitties LOVE it!",Positive
41,Amazon Customer,They seem chuffed,White,5,Canada ,18-Jan-24,"Video Player is loading.Play VideoPlayMuteCurrent Time0:00/Duration0:31Loaded:19.37%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:311xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.You don't need this. I don't need this. Literally no one needs a tiny couch for their cat. Still, I regret nothing",Negative
42,Mathilde,Not comfy enough for my cat,Green,2,Canada ,30-Mar-24,"Cushion is not comfy like other beds, but very thin. My cat never touches it. So sad.",Positive
43,Jane,So cute！,Green,5,Canada ,30-Jan-24,,Neutral
44,Pierre,Best qualify for cat sofa,Blue,5,Canada ,26-Jan-24,Mewoofun best company.,Positive
45,Amazon Customer,You have to build it!,Yellow,2,Canada ,12-Mar-24,Ordered and received. You have to stuff it yourself. Who knew assembly was required on a soft cat bed.,Neutral
46,K-ELF,Love it,Green,5,Canada ,09-Jan-24,Cats and dogs both love this couch.,Positive
47,Ruby Atlas,Disappointing,Blue,1,Canada ,12-Jun-24,This is a very flimsy and cheaply made product. There isn’t anywhere near the required amount of inner stuffing to make this cat bed sturdy and worth the amount of money I just spent on it. I’m very disappointed and will be returning. Don’t waste your time.,Negative
48,Zach,Perfect!,Green,5,Canada ,05-Jan-24,It’s amazing my cats love it !!,Positive
49,Dani,I am obsessed with this thing,Green,5,Canada ,12-Dec-23,"It’s great quality, easy to “put together” and it’s hilarious. Our cats love it!",Positive
50,Amazon Customer,Soft,Blue,5,Canada ,29-Dec-23,They love it! Huge hit with both 2 kitties,Positive
51,Nicole Roux,Divan pour chien,White,5,Canada ,30-Dec-23,Il est magnifique mes deux chiens l'adore,Neutral
52,Belle,Cute,Blue,5,Canada ,05-Dec-23,Bonnie approves 😎,Positive
53,Erica Sutthery,Dog bed,White,2,Canada ,24-Jan-24,Not as fluffy and durable as it looks,Neutral
54,Andrea,"“Durable zipper”, a lie.",Blue,1,Canada ,18-Apr-24,As soon as the package got to me the zipper was super stiff and I wasn’t able to unzip it to start putting in the cushions; it naturally broke since the zipper’s material was very fragile and thin. I filed the return already. Not satisfied at all.,Positive
55,parveen,Cat bed green,Green,2,Canada ,12-Dec-23,Not as cute as the picture And  much smaller than I thought,Positive
56,Luna,Bad quality,Pink,1,Canada ,04-Jun-24,"The sofa is shedding hair inside, you have to vacuum it every day!",Neutral
57,Melissa lauzon,Very cheap,White,2,Canada ,05-Nov-23,Le lit ne se tient même pas tellement il manque de rembourrage. Vraiment trop cher pour cet article,Neutral
58,T. Way,Total scam nothing like advertised,Blue,1,Canada ,02-Mar-24,I would give zero stars if possible. It was just a thin pillow insert that came nothing like a couch at all. I got a refund. I totally forgot to take pics b4 I boxed it back up. Very disappointed,Negative
59,Dylan Burgess,Not much padding at all,Yellow,1,Canada ,20-Apr-24,"Not enough padding ,",Neutral
60,Sandra D.,Insatisfaites,White,1,Canada ,19-Mar-24,L'article as été retournerEt aucune mention de mon remboursementImpossible de contacter le vendeur,Neutral
61,Tyler Tasson,Flat and sad,Yellow,1,Canada ,30-Dec-23,I don’t know what I was expecting but this this is so sad and flat and deformed - nothing like the photo. It’s been out to fluff all day with no change. It’s basically a garbage blob of cheap fluff :(,Neutral
62,Amazon Customer,Very disappointing,White,1,Canada ,25-Dec-23,Very disappointed once put together looks nothing like the picture - pillows are too small and little bed looks deformed because of it,Neutral
63,Alison M Lobsinger,Not the best quality,Black,3,Canada ,20-Jun-24,"The product isn't the most amazing quality (the pillows that make up the filling are thin and not great quality or the right shape to stuff the sofa pillow case), but the fabric is very plush and my cat loved it instantly.",Positive
64,Susan,Comfy,Black,4,Canada ,01-Apr-24,My cat loves his new couch. It is soft and comfortable. He naps it in all the time. Very easy to put together. It's great that the cover is washable. I would recommend this Cat sofa 🛋 😻,Positive
65,Randi Allen,Sooo cute,White,5,Canada ,29-Dec-23,"Bought it for a place for my kitties to relax instead of on the dining room chairs and softer than the floor. Bigger than I imagined so I was very happy with that. Once you open the packaging, the pillows will fluff up. And as you can see, Mr Earl is loving it",Positive
66,Elizabeth McDermott,Cat Bed Pink,Pink,5,Canada ,12-Dec-23,The package it came in was awesome! It was wrapped tightly inside plastic. I opened it and put it together but I was confused at first because I didn't see the zipper in the front. It's so cute. My cat loves it. She's sleeping in it now and I just gave it to her like....30 mins ago. Lol,Positive
67,Mandy S,My dog LOVES it!,,5,United States ,15-Sep-23,"I have been redecorating a room and my clingy dog has been sad because she didn’t have anywhere designated for her. As soon as I placed this on the floor, she went right to it and got on it! She knew it was hers and let me take her picture in front of it! ❤️ Great buy! She weighs about 10-15 lbs and the length of a weenie dog!",Positive
68,Ms. Glace,My cat LOVES it!!!,Green,5,United States ,09-May-24,My cat loves this bed! She took right to it and I love that she looks so darn cute on it! She uses the arms as pillows and sleeps on this couch every night. The size is great and it is so soft! The cover slips off and each section is made from a pillow insert. Easy to wash and fluff. 100% recommended. Cat approved.,Positive
69,Tori Netzer,Biscuit factory,,5,United States ,28-Jul-23,My cats love it! They seem to think it’s very cozy and it’s aesthetically pleasing to me. They make biscuits on this little couch nonstop!,Positive
70,Miguel E.,A Mi perro le encantó.,White,5,Mexico ,19-Dec-23,Buen material y calidad.,Neutral
71,Addie,TOO CUTE!,,5,United States ,27-Apr-24,"It’s a cute, soft, cushioned little couch. My cat really loves lying on it. I love the color. I highly recommend this cute little charming kitty couch/bed. It’s the perfect size.",Positive
72,Amazon Customer,Best Cat Sofa Ever!,White,5,United States ,18-Jun-24,"When I got the package, I was a little concerned on the amount of stuffing that came with the couch. I got it put together and it was purrfect. My cat and dogs fight over this couch! It’s very soft and cute!",Neutral
73,Carol ohlund,Extremely smaller than the first one!!!!,,1,United States ,11-Oct-23,Be aware of the size! This seller has several different options. The first one I got last week was a good size. This one is like a Mini version .  so not worth the price it should be about 25.00 . they also do not sit up like in the photos. They lack stuffing by Alot. They just fall flat like a blanket.  I do NOT recommend anything from this seller.,Positive
74,Sandra Marino,Cats love it,,5,United States ,21-Aug-23,My fur babies love this couch. Will have order another so that they don't fight over it.,Positive
75,Katie gross,Not really sturdy,,4,United States ,21-Oct-23,This thing is definitely bigger than I thought but it looks so cute and is wonderful it is a bit flimsy not sure what the filling is but occasionally you do have to fluff it up after a couple of uses,Positive
76,Mina Elizabeth,Happy kitty,,5,United States ,10-Jan-24,"Happy, snuggly kitty, A+.",Positive
77,Emily S.,Cats love the couch,Green,5,United States ,21-Apr-24,"Do cats like the couch? Yes. Do they use it individually? Yes! Do they use it as a loveseat for cuddles? Yes! When it arrives, it’s small and vacuum sealed. You will have to put the couch filling (in small cushion shapes) inside the couch shell. It’s easy to assemble, disassemble, and clean. When the cushions get worn out, I plan to just replace them with something in that general shape. Good value and the patterns/colors are super cute! I’m happy with the green and brown one.",Positive
78,Janice,Sofa potential in manual shaping.,,3,United States ,18-Aug-23,"I was disappointed that the pet “couch” had No shaping to it. It resembles more of a bean bag with filling that would have to be manipulated quiteA Lot to even begin to have a shape!There is No Form.The picture is Very misleading, as it doesn’t come delivered as a couch ready for my cat to lounge on.Cute checkerboard design ordered…But overall, Disappointed that it doesn’t resemble what is advertised.  :(Janice",Negative
79,Becka,it’s comfy,,4,United States ,19-Oct-23,padding wasn’t the best so it kinda flipped back. but my cat doesn’t seem to mind.,Positive
80,N.W,Not worth it at All,,1,United States ,30-Sep-23,"I got this for my senior cats 14 birthday and it sucks. Hardly filled, my cat refused to use it. I thought maybe washing the outside would help because maybe the scent bothered her but when I took the cover off allThe stuffing went everywhere. Wish I could return but I can’t since the stuffing is everywhere. DO NOT RECOMMEND.",Neutral
81,Jammie Meredith,Don’t waste your time or money.,,1,United States ,18-Apr-24,"Only giving a 1 because 0 isn’t an option.Floppy, shape not held.  Looks like found in an old shed after years of having stuff piled on it.  Nothing like the picture.",Positive
82,Ariela,Just big enough for my 25 pound dog,Black,5,United States ,16-Jun-24,It’s extremely cute but probably needs to  be up against the wall as the back doesn’t have much shape to stay up otherwise. My dog is 25 pounds and I’d say if you dog is much bigger than that it probably will be too small but it’s perfect for 25 and under. It’s soft and cute,Positive
83,Kylee,Kinda floppy but totally excellent. Fits 2,,5,United States ,24-Aug-23,The media could not be loaded.Love this couch. I found it needs to be up against a wall to hold its shape.,Neutral
84,Susanne DeVenture,Great,,5,United States ,30-Apr-23,My dog loves it,Positive
85,Summer,He likes it,,4,United States ,24-Apr-23,It’s kind of floppy and seems slightly under filled but my French Bulldog is comfortable and he likes resting on it so all good. Would be 5 stars if it had more filling and held its shape.,Positive
86,Amber,Fluffy and good quality,Yellow,4,United States ,22-Feb-24,My kitten won't use it😂.But it's great quality and I like that the cover is removable. Sad she doesn't care for it but I do think it's a good product.I would consider maybe switching out the bottom pillow for something a little more study if you have an older cat. Might not be good for their bones and joints.Update: My car sleeps on this every night now that it's not cold so she's not using her heating bed. Hasn't lost its fluff at all 2+ months later. Can't give this product enough props,Neutral
87,Sarah Kreke,Cute but flimsy,,4,United States ,19-Aug-23,The idea is super cute and so is the design but it definitely needs more stuffing.,Positive
88,Sandra J. Gordon,Awful,,1,United States ,04-Jan-24,Worst made bed ever.,Negative
89,Laura,"Terrible quality, not worth the money",,1,United States ,28-Jul-23,I did not receive the item pictured. It lacks the structure of the bed in the design. It isn’t filled enough to hold its shape. It’s a total rip off.,Negative
90,Alyson P.,Perfect!,,5,United States ,24-Jun-24,My 16 year old Yorkie loves it. It’s big enough that the cat can lay on it with her and they’re not crowding each other. Easy to put together.,Positive
91,Elizabeth,strangely inconsistent,Blue,3,United States ,11-Jun-24,i bought this in blue and black/white checkered and the quality between the two is vastly different. the blue came with some generic rectangle stuffing that didn’t even match the stuffing in the instructions for how to put it together. the black and white came with higher quality stuffing. you can see in the photos that the black and white is clearly more plush while the other is lumpy and collapses in on itself when the cats lay on it. i don’t really get it. this was a bizarre experience.,Negative
92,Daisy Reyes,Kitty couch,,1,United States ,03-Feb-24,"It arrived flat and looks nothing like the picture. Shame, matches my living room and I thought it would be cute to have my kids sit with me.",Negative
93,Justin Schell,Couch Queen,White,5,United States ,18-May-24,"I legit never do reviews but look at my little couch queen. The assembly was easy, just fluffed it a bit. It smelled like packaging so I washed it first and she started using it instantly. Legit adorable. Her couch is next to ours and I just can't. It's soft, the quality is nice. The size is good for one...fluffy cat. Our other 2 cats might need their own because this one won't share but absolutely worth.",Positive
94,Byrdie,Cat Would Not Have Anything To Do With It,,1,United States ,25-Nov-23,"Sofa is not so bad, but the arms do not stay up as shown in the picture.",Negative
95,DeeBee,My cat loves this couch!,Blue,5,United States ,26-Jun-24,This couch is super cute. And my cat loves it. She did kind of make a dent in it from laying in it so much lol but it’s easily reshapable. I haven’t gotten to clean the couch yet but I’m sure it would be easy to just take off the cover and wash it and then hang to dry. It does collect some hair but can be removed with a lint roller. Would purchase again.,Positive
96,S. Reese,Instant success!,White,5,United States ,02-Jun-24,My girl is a hefty kitty. I was worried she wouldn’t fit but it’s perfect. She loves snuggling in blankets or on top of me when I’m sitting w/ a blanket which if fine occasionally but when I’m up and down she gets annoyed. Now she has her own little couch 🥰 it’s perfect! Put it together and put some catnip on it and five mins she’s snoozin. So glad I took the chance and bought this.For those complaining of the stuffing being thin- you have to spend a few mins with each cushion before inserting into the cover - and fluff the heck out of it and it’s fine.,Positive
97,Susie,Super Little Sofa,Green,5,United States ,19-Jun-24,My 14-year-old cat seems to have pain worse than just arthritis pain so I got her this cushy couch to sleep on.It has a very padded sofa seat and very well engineered bolsters on either end my two kitties will race to see who gets the sofa.  It shouldn't take long before I have to buy another one so each can  have their own.,Negative
98,Nathan Lee,As advertised,,5,United States ,03-Jun-24,"Looks comfortable, feels great. it's bigger then I had expected so I havn't found the best place for it, but where ever i set it at my fur fam likes to sleep on it. Just note the length when purchasing. That was my personal fault, but honestly I would have still bought it anyway. I made an extra extension to my window area by adding a piece of wood to sit the couch on and they love sitting on it with the window up in the sun. Just an idea for people to consider",Positive
99,Sydnee,My cat loves her mini couch!,Yellow,5,United States ,28-Jun-24,My fur baby is obsessed with our couch and gets sad when she can’t have the human couch all to herself. I bought this for her and was unsure if she’d love it fully. She hasn’t left it since!She’s so happy.10/10,Negative
